Time (s);Linear Acceleration x (m/s^2);Linear Acceleration y (m/s^2);Linear Acceleration z (m/s^2);Absolute acceleration (m/s^2)
0,003953542;-0,420842091;-0,198813518;-0,960295243;1,067146585
0,014037542;-0,470621155;-0,133003106;-0,954231096;1,072255139
0,024121542;-0,449677306;0,118119311;-1,253713787;1,337146256
0,034205542;-0,343769503;0,21000392;-1,558291742;1,609519267
0,044289542;-0,08487482;0,117328767;-1,651638447;1,657974467
0,054372542;0,101149229;0,217243065;-1,594045127;1,611957066
0,064456542;0,113560785;0,213915707;-1,603563809;1,621749941
0,074540542;0,124607674;0,149386127;-1,450311795;1,46330024
0,084624542;0,159263609;0,294662539;-1,44277298;1,481143066
0,094708542;0,13243092;0,478456899;-1,291090944;1,383247909
0,104792542;0,144535825;0,563122535;-1,071348487;1,218927879
0,114876542;0,294501156;0,668830839;-0,774274848;1,064691111
0,124960542;0,336834888;0,6534971;-0,695614595;1,012124432
0,135044542;0,135449508;0,649710151;-0,329561353;0,740999687
0,145128542;0,119005091;0,778049811;-0,076937079;0,790849564
0,155211542;0,578532945;0,801804124;-0,079274796;0,99190459
0,165295542;0,796828363;0,818775083;-0,347032249;1,194051698
0,175379542;0,517421283;0,842079161;-0,519118145;1,116380645
0,185463542;0,44243023;0,8854158;-0,792218783;1,267799766
0,195547542;0,472820768;0,785183706;-1,01818911;1,369956932
0,205631542;0,238999385;0,862536814;-0,876547912;1,252767618
0,215715542;0,014349177;1,08475089;-0,65070564;1,265032893
0,225799542;0,012523603;1,204836034;-0,783990582;1,437507545
0,235883542;-0,216971535;1,133980937;-0,721577402;1,361493062
0,245967542;-0,321044153;0,944653064;-0,330171803;1,050929198
0,256050542;-0,332422177;1,020005548;0,216194367;1,094374627
0,266134542;-0,3182964;0,998759397;0,683252996;1,251266394
0,276218542;-0,042933473;1,115208159;0,943090396;1,4611475
0,286302542;-0,419494161;0,919451565;1,420264708;1,74313464
0,296386542;-0,242051485;0,839442067;1,503064206;1,73852061
0,306470542;0,34906898;0,876802559;1,772500395;2,008081056
0,316554542;0,476600847;0,980295352;1,956786506;2,239897492
0,326638542;0,333454868;1,101718048;1,944265278;2,25945619
0,336722542;0,276661155;1,225408001;1,932302459;2,304768743
0,346805542;0,0401999;1,413555906;2,083416731;2,518011439
0,356889542;-0,306789007;1,489814415;2,335086156;2,786807105
0,366973542;-0,377848318;1,446904331;2,390959809;2,820104662
0,377057542;-0,531210479;1,158588944;2,513467748;2,818161286
0,387141542;-0,827645455;0,79958569;2,909814829;3,12911435
0,397225542;-0,913764124;0,315069614;3,453722245;3,586423159
0,407309542;-0,843423874;-0,333325206;3,647986044;3,759025366
0,417393542;-0,831935923;-0,994524844;3,401175656;3,639944078
0,427477542;-0,675607031;-1,430436817;2,68606586;3,117297572
0,437560542;-0,490962851;-1,614171828;1,403803042;2,194825322
0,447644542;-0,590317424;-1,668732197;0,057987422;1,771017885
0,457728542;-0,70725662;-1,660587611;-0,908722216;2,020776882
0,467812542;-0,604773349;-1,662190625;-1,492540972;2,314369683
0,477896542;-0,20423301;-1,695442863;-1,845211106;2,514168183
0,487980542;0,043761951;-1,717297709;-2,32763154;2,89290427
0,498064542;0,031015167;-1,699567197;-2,426048366;2,962296621
0,508148542;-0,050743453;-1,559458262;-2,14848864;2,65527558
0,518232542;0,027333248;-1,499604701;-1,782619001;2,329654882
